Accession	flaID	length	HVR_length	ncbi_taxid	ncbi_phylum	Domain	Phylum	Class	Order	Family	Genus	Species	genome_size
PKM88335.1	fla621	635	395	2013773	Firmicutes	d__Bacteria	p__Firmicutes_B	c__Peptococcia	o__DRI-13	f__DRI-13	g__PHAD01	s__PHAD01 sp002841595	2784870
WP_088554158.1	fla622	589	349	1246530	Firmicutes	d__Bacteria	p__Firmicutes_B	c__Moorellia	o__Calderihabitantales	f__Calderihabitantaceae	g__Calderihabitans	s__Calderihabitans maritimus	3064849
WP_066269463.1	fla623	540	300	209389	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__Bacillaceae_C	g__Bacillus_AE	s__Bacillus_AE acidicola	5138363
WP_090631186.1	fla624	280	40	1499688	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-18226	g__Neobacillus	s__Neobacillus sp001048695	5600061
AOZ75141.1	fla625	493	253	1262449	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_I	s__Clostridium_I pasteurianum	4352852
ETI89123.1	fla626	498	258	1403941	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium butyricum	4014159
OOP75163.1	fla627	504	264	1520	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium beijerinckii	5880896
WP_091744446.1	fla628	493	253	112903	Firmicutes	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Propionisporales	f__Propionisporaceae	g__Propionispora	s__Propionispora vibrioides	4433598
OZC19419.1	fla629	491	251	1123286	Firmicutes	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Sporomusales	f__Sporomusaceae	g__Sporomusa	s__Sporomusa acidovorans	6060615
PPK45259.1	fla630	493	253	1121295	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_L	s__Clostridium_L algidicarnis	2835143
PRR82842.1	fla631	314	74	52704	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium vincentii	3505833
AHF07806.1	fla632	403	163	871968	Firmicutes	d__Bacteria	p__Firmicutes_B	c__Desulfitobacteriia	o__Desulfitobacteriales	f__Desulfitobacteriaceae	g__Desulfitobacterium_A	s__Desulfitobacterium_A metallireducens	3176073
KZL94074.1	fla633	455	215	1121326	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_AM	s__Clostridium_AM magnum	6634930
AWK50932.1	fla634	526	286	1520	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium beijerinckii	5880896
SHH95286.1	fla635	563	323	1121326	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_AM	s__Clostridium_AM magnum	6634930
WP_079438753.1	fla636	543	303	225345	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium chromiireducens	5843819
WP_063600807.1	fla637	573	333	1705578	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_B	s__Clostridium_B ljungdahlii	4565108
WP_017211312.1	fla638	569	329	1520	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium beijerinckii	5880896
WP_023162987.1	fla639	569	329	84023	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_B	s__Clostridium_B ljungdahlii	4322023
WP_013237636.1	fla640	547	307	1538	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_B	s__Clostridium_B ljungdahlii_A	4363917
WP_077309176.1	fla641	558	318	1520	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium beijerinckii	5880896
PSM56092.1	fla642	558	318	223919	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium beijerinckii	5867817
AJH01341.1	fla643	548	308	1520	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium beijerinckii	5880896
OOM26900.1	fla644	570	330	1520	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium beijerinckii	5880896
ADK14031.1	fla645	570	330	748727	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_B	s__Clostridium_B ljungdahlii	4630065
OBR95008.1	fla646	800	560	1353534	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_B	s__Clostridium_B ragsdalei	4424992
WP_026888254.1	fla647	273	33	1520	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium beijerinckii	5880896
WP_015616081.1	fla648	376	136	1501	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_I	s__Clostridium_I pasteurianum	4265470
WP_039653435.1	fla649	427	187	1519	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_B	s__Clostridium_B tyrobutyricum	3085051
OOM60925.1	fla650	418	178	1520	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium beijerinckii	5880896
WP_065418919.1	fla651	508	268	1520	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium beijerinckii	5880896
WP_009172146.1	fla652	411	171	641107	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium sp000230835	6477357
POO93273.1	fla653	393	153	2070758	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium beijerinckii	5626308
WP_073538922.1	fla654	429	189	1534	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_B	s__Clostridium_B kluyveri	4512934
PRR85248.1	fla655	571	331	1691940	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_B	s__Clostridium_B luticellarii	3754778
WP_058953758.1	fla656	400	160	1519	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_B	s__Clostridium_B tyrobutyricum	3085051
WP_017895205.1	fla657	392	152	1519	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_B	s__Clostridium_B tyrobutyricum	3085051
WP_017752663.1	fla658	282	42	1519	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_B	s__Clostridium_B tyrobutyricum	3085051
AMA71738.1	fla659	470	230	1450761	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Aneurinibacillales	f__Aneurinibacillaceae	g__Aneurinibacillus	s__Aneurinibacillus thermoaerophilus	3664835
BAU26561.1	fla660	555	315	1500254	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Aneurinibacillales	f__Aneurinibacillaceae	g__Aneurinibacillus	s__Aneurinibacillus soli	4020581
ERI09651.1	fla661	398	158	649747	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Aneurinibacillales	f__Aneurinibacillaceae	g__Aneurinibacillus	s__Aneurinibacillus aneurinilyticus	5313859
AKA70313.1	fla662	403	163	1548	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_AM	s__Clostridium_AM scatologenes	5749410
WP_023973502.1	fla663	410	170	1520	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium beijerinckii	5880896
AQS16089.1	fla664	404	164	169679	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium saccharobutylicum	4900327
EFG88210.1	fla665	399	159	536227	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_AM	s__Clostridium_AM carboxidivorans	4407967
WP_043853299.1	fla666	421	181	1492	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium butyricum	4597202
WP_103673021.1	fla667	585	345	2070757	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium butyricum	4388540
WP_003429311.1	fla668	571	331	1492	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium butyricum	4597202
AOR93183.1	fla669	554	314	1492	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium butyricum	4597202
WP_045144579.1	fla670	560	320	1492	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium butyricum	4597202
OKZ85308.1	fla671	603	363	1896982	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium sp001916075	2507609
CDB14759.1	fla672	593	353	1262780	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium sp000435835	3093482
KJZ87555.1	fla673	270	30	1523154	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium butyricum	4596888
WP_048311266.1	fla674	422	182	157733	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_G	f__Anaerobacillaceae_A	g__Anaerobacillus_A	s__Anaerobacillus_A macyae	4256776
EQB26369.1	fla675	410	170	1123288	Firmicutes	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Sporomusales	f__Sporomusaceae	g__Sporomusa	s__Sporomusa ovata	5383666
CUH94429.1	fla676	399	159	1677858	Firmicutes	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Propionisporales	f__Propionisporaceae	g__CYSP01	s__CYSP01 sp001298735	4121509
WP_088032462.1	fla677	279	39	425933	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Salisediminibacteriaceae	g__Bacillus_AR	s__Bacillus_AR clarkii	5085045
WP_066192277.1	fla678	277	37	1816696	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Amphibacillaceae	g__Gracilibacillus	s__Gracilibacillus phocaeensis	4547476
WP_100400252.1	fla679	274	34	2014005	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Marinococcaceae	g__C254	s__C254 sp002797315	3989367
WP_100374049.1	fla680	277	37	2011007	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Bacillaceae_D	g__Bacillus_S	s__Bacillus_S sp002797325	3373087
SFM23674.1	fla681	280	40	334253	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Amphibacillaceae	g__Gracilibacillus	s__Gracilibacillus orientalis	4611824
WP_041087211.1	fla682	274	34	889306	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__Jeotgalibacillaceae	g__Jeotgalibacillus	s__Jeotgalibacillus soli	3776953
KMK77432.1	fla683	278	38	79884	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Bacillaceae_D	g__Alkalihalobacillus	s__Alkalihalobacillus pseudalcaliphilus	4487412
GAK03032.1	fla684	277	37	1460634	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Marinococcaceae	g__JCM-19038	s__JCM-19038 sp000698145	4093558
WP_042418830.1	fla685	277	37	1460635	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Marinococcaceae	g__JCM-19038	s__JCM-19038 sp000698125	3872620
GAJ97360.1	fla686	213	-27	1460649	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Marinococcaceae	g__JCM-19038	s__JCM-19038 sp000698185	4096854
WP_114375048.1	fla687	375	135	2099786	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Marinococcaceae	g__Salicibibacter	s__Salicibibacter kimchii	3641602
SDI41118.1	fla688	366	126	549003	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Marinococcaceae	g__Natribacillus	s__Natribacillus halophilus	3302411
PYZ95846.1	fla689	276	36	2045244	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Salisediminibacteriaceae	g__Bacillus_AS	s__Bacillus_AS lacisalsi	4047843
SDC38385.1	fla690	287	47	1612202	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Amphibacillaceae	g__Pelagirhabdus	s__Pelagirhabdus alkalitolerans	2527601
PAD14855.1	fla691	302	62	79880	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Bacillaceae_D	g__Bacillus_H	s__Bacillus_H clausii	4444746
WP_078579117.1	fla692	290	50	76935	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Salisediminibacteriaceae	g__Salipaludibacillus	s__Salipaludibacillus agaradhaerens	4319439
KQL58696.1	fla693	382	142	444060	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Bacillaceae_D	g__Bacillus_H	s__Bacillus_H oshimensis	3967762
WP_099304157.1	fla694	340	100	2014782	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Bacillaceae_D	g__Bacillus_H	s__Bacillus_H sp900197585	3969658
GAF12501.1	fla695	355	115	1460639	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Bacillaceae_D	g__Bacillus_H	s__Bacillus_H sp000576325	4314923
WP_078392843.1	fla696	343	103	228576	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Bacillaceae_D	g__Bacillus_H	s__Bacillus_H patagoniensis	4646905
WP_059104299.1	fla697	285	45	1649580	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Bacillaceae_D	g__Bacillus_H	s__Bacillus_H shacheensis	3982201
WP_091658629.1	fla698	348	108	930128	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Marinococcaceae	g__Alteribacillus_A	s__Alteribacillus_A iranensis	3316135
WP_069364037.1	fla699	342	102	632773	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Salisediminibacteriaceae	g__Salisediminibacterium	s__Salisediminibacterium beveridgei	3582268
WP_096437059.1	fla700	390	150	2011011	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Salisediminibacteriaceae	g__Bacillus_AS	s__Bacillus_AS populi	4517958
WP_096190269.1	fla701	269	29	2011013	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Salisediminibacteriaceae	g__FJAT-44876	s__FJAT-44876 sp002335745	5512723
WP_110610339.1	fla702	272	32	2045207	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Salisediminibacteriaceae	g__Salipaludibacillus	s__Salipaludibacillus keqinensis	4150426
WP_091773207.1	fla703	270	30	571933	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Alkalibacillaceae	g__Piscibacillus	s__Piscibacillus halophilus	2992995
WP_088076516.1	fla704	275	35	304268	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_L	g__Litchfieldia	s__Litchfieldia alkalitelluris	5427045
WP_062050203.1	fla705	272	32	1481928	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Bacillaceae_D	g__Bacillus_L	s__Bacillus_L sp001310635	3962169
WP_105959127.1	fla706	475	235	1548213	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Salisediminibacteriaceae	g__Alkalicoccus	s__Alkalicoccus urumqiensis	3280710
WP_017184915.1	fla707	270	30	94136	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Alkalibacillaceae	g__Alkalibacillus	s__Alkalibacillus haloalkaliphilus	2882966
AOM81906.1	fla708	345	105	632773	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Salisediminibacteriaceae	g__Salisediminibacterium	s__Salisediminibacterium beveridgei	3582268
WP_106588144.1	fla709	482	242	517424	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Marinococcaceae	g__Salsuginibacillus	s__Salsuginibacillus halophilus	3019496
SER99876.1	fla710	332	92	1464123	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Salisediminibacteriaceae	g__Salisediminibacterium	s__Salisediminibacterium halotolerans	2937914
WP_100832713.1	fla711	380	140	2011012	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Salisediminibacteriaceae	g__Bacillus_AS	s__Bacillus_AS populi	4431643
WP_093054350.1	fla712	341	101	1601833	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Salisediminibacteriaceae	g__Salipaludibacillus	s__Salipaludibacillus aurantiacus	4435185
WP_105959125.1	fla713	469	229	1548213	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Salisediminibacteriaceae	g__Alkalicoccus	s__Alkalicoccus urumqiensis	3280710
WP_088076522.1	fla714	296	56	304268	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_L	g__Litchfieldia	s__Litchfieldia alkalitelluris	5427045
WP_091580905.1	fla715	420	180	930129	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Marinococcaceae	g__Alteribacillus	s__Alteribacillus bidgolensis	4643995
SHM96665.1	fla716	279	39	1027249	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Amphibacillaceae	g__Gracilibacillus	s__Gracilibacillus kekensis	3981756
WP_089802119.1	fla717	284	44	442899	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Amphibacillaceae	g__Halolactibacillus	s__Halolactibacillus alkaliphilus	2871467
SFS90216.1	fla718	274	34	306541	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Amphibacillaceae	g__Halolactibacillus	s__Halolactibacillus miurensis	3110583
SFS90227.1	fla719	298	58	306541	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Amphibacillaceae	g__Halolactibacillus	s__Halolactibacillus miurensis	3110583
PXW93016.1	fla720	388	148	621096	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Amphibacillaceae	g__Streptohalobacillus	s__Streptohalobacillus salinus	2529324
WP_091498833.1	fla721	269	29	872970	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Amphibacillaceae	g__Amphibacillus_D	s__Amphibacillus_D marinus	3468523
WP_090891248.1	fla722	383	143	1503961	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Salisediminibacteriaceae	g__Bacillus_AR	s__Bacillus_AR caseinilyticus	5872627
ERN51965.1	fla723	385	145	1188261	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Bacillaceae_D	g__Bacillus_S	s__Bacillus_S marmarensis	4020592
WP_012960460.1	fla724	380	140	79885	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Bacillaceae_F	g__Bacillus_BH	s__Bacillus_BH alkalinitrilicus	5280865
WP_007503063.1	fla725	273	33	296745	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Caldalkalibacillales	f__Caldalkalibacillaceae	g__Caldalkalibacillus	s__Caldalkalibacillus thermarum	3189640
EGL83889.1	fla726	356	116	986075	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Caldalkalibacillales	f__Caldalkalibacillaceae	g__Caldalkalibacillus	s__Caldalkalibacillus thermarum	2895463
WP_066160581.1	fla727	321	81	199441	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Bacillaceae_D	g__Bacillus_L	s__Bacillus_L krulwichiae	4610863
WP_096156604.1	fla728	367	127	2011010	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_I	g__Sutcliffiella	s__Sutcliffiella sp002335755	3899609
KGA97224.1	fla729	499	259	1218173	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Bacillaceae_D	g__Alkalihalobacillus	s__Alkalihalobacillus alcalophilus	4210001
PWU69302.1	fla730	323	83	178340	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Amphibacillaceae	g__Gracilibacillus	s__Gracilibacillus dipsosauri	4186855
ADU31860.1	fla731	322	82	649639	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Salisediminibacteriaceae	g__Bacillus_AR	s__Bacillus_AR cellulosilyticus	4681672
WP_066442536.1	fla732	323	83	859144	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-18226	g__Cytobacillus	s__Cytobacillus gottheilii_A	4778566
EWG11495.1	fla733	596	356	1307436	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-18226	g__Cytobacillus	s__Cytobacillus firmus_A	4971242
PKG26903.1	fla734	321	81	549687	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-18226	g__Cytobacillus	s__Cytobacillus horneckiae_A	4131589
PKG26904.1	fla735	314	74	549687	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-18226	g__Cytobacillus	s__Cytobacillus horneckiae_A	4131589
WP_045489491.1	fla736	315	75	1450694	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Bacillaceae_D	g__Alkalihalobacillus	s__Alkalihalobacillus trypoxylicola	4360646
WP_075386932.1	fla737	563	323	79885	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Bacillaceae_F	g__Bacillus_BH	s__Bacillus_BH alkalinitrilicus	5280865
WP_078429889.1	fla738	609	369	427920	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Bacillaceae_F	g__Bacillus_BH	s__Bacillus_BH alkalinitrilicus	5523573
WP_102344869.1	fla739	637	397	1936234	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_C	f__Bacillaceae_J	g__OESV01	s__OESV01 sp900240995	5374955
WP_100405454.1	fla740	627	387	2014074	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Bacillaceae_D	g__45385	s__45385 sp002797395	4678137
WP_095371832.1	fla741	397	157	859143	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-18226	g__Cytobacillus	s__Cytobacillus kochii	4694375
WP_058306690.1	fla742	550	310	1564956	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Amphibacillaceae	g__Gracilibacillus	s__Gracilibacillus massiliensis	4207226
WP_096202432.1	fla743	601	361	2011014	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Bacillaceae_F	g__FJAT-45350	s__FJAT-45350 sp002335805	4301594
WP_089832204.1	fla744	382	142	306540	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Amphibacillaceae	g__Halolactibacillus	s__Halolactibacillus halophilus	2704097
SDO36769.1	fla745	391	151	745820	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Salisediminibacteriaceae	g__Alkalicoccus	s__Alkalicoccus daliensis	3778165
WP_090843752.1	fla746	388	148	745820	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Salisediminibacteriaceae	g__Alkalicoccus	s__Alkalicoccus daliensis	3778165
SER40727.1	fla747	542	302	531814	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Amphibacillaceae	g__Gracilibacillus	s__Gracilibacillus ureilyticus	4071593
WP_079475421.1	fla748	459	219	1371	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Marinococcaceae	g__Marinococcus	s__Marinococcus halophilus	3266249
WP_079475632.1	fla749	406	166	1371	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Marinococcaceae	g__Marinococcus	s__Marinococcus halophilus	3266249
EKE30811.1	fla750	440	200	1230341	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Halobacillaceae	g__Salimicrobium	s__Salimicrobium album	2712396
OZT78877.1	fla751	376	136	1371	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Marinococcaceae	g__Marinococcus	s__Marinococcus halophilus	3266249
WP_094909074.1	fla752	378	138	1371	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Marinococcaceae	g__Marinococcus	s__Marinococcus halophilus	3266249
WP_053983204.1	fla753	459	219	1658108	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Cellulosilyticaceae	g__Niameybacter	s__Niameybacter massiliensis	4578674
PLS17873.1	fla754	378	138	2054166	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-1321	g__Peribacillus	s__Peribacillus sp002860285	5304653
