Accession	Domain	Phylum	Class	Order	Family	Genus	Species	logFC	logCPM	PValue	FDR	EnrichedIn
WP_073468939.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Rhizobacter	s__Rhizobacter sp900142965	-1.103251393907592	10.589609447937503	6.686091923067594e-16	1.2316156243332924e-14	Environmental
AGU57173.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Vibrio	s__Vibrio anguillarum	-1.331637119925511	10.456259435088844	7.393525383745544e-16	1.3493183825335618e-14	Environmental
WP_085620935.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Thalassospiraceae	g__Thalassospira	s__Thalassospira alkalitolerans	-1.1126476958323632	10.419176711335789	1.1525516963835004e-15	2.084109535387045e-14	Environmental
OWL91134.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_D	s__Pseudomonas_D aestusnigri	-1.1108781129700738	10.394576064623855	1.5231204444954987e-15	2.7291549055460252e-14	Environmental
WP_099510531.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Microvirga	s__Microvirga ossetica	-1.1923088844773364	10.498085465632352	1.6561657931404058e-15	2.940813313765531e-14	Environmental
OFZ81855.1	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia_A	o__UBA1018	f__UBA1018	g__XYD1-FULL-53-11	s__XYD1-FULL-53-11 sp001770165	-1.0342700895305745	10.36887429958937	1.8031322811821753e-15	3.1731908269732746e-14	Environmental
PKL08072.1	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__UBA12059	g__SZUA-370	s__SZUA-370 sp002839245	-1.3088662947831036	10.549723596073786	1.826852227213646e-15	3.186482955608935e-14	Environmental
OYU51363.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Hyphomonadaceae	g__Aquidulcibacter	s__Aquidulcibacter sp001602435	-1.2450994646709261	10.396818870999425	2.0710595331512684e-15	3.5807529296852193e-14	Environmental
OQW65421.1	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira_D	s__Nitrospira_D sp002083555	-1.1162529162088382	10.36860069155187	2.318229292965426e-15	3.9732434229868295e-14	Environmental
WP_109339242.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Saliniradius	s__Saliniradius amylolyticus	-1.2523875305204375	10.41019556450194	2.3434452083190797e-15	3.981836642755954e-14	Environmental
WP_096932346.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia flexneri	-1.172524652420804	10.440678160102134	2.372209269119478e-15	3.99626023028589e-14	Environmental
AFL87630.1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__Terriglobus	s__Terriglobus roseus	-1.184529643911838	10.394315723149786	3.299258543668556e-15	5.510880160653156e-14	Environmental
EGC94816.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia fergusonii	2.1660667207481303	11.109586172798245	3.5900433413256504e-15	5.946197836767107e-14	Host-associated
CUH81577.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Epibacterium	s__Epibacterium multivorans	-1.1855944379270482	10.456562803957212	1.0866719070465068e-14	1.7848586073238873e-13	Environmental
AMS30210.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Hyphomonadaceae	g__Aquidulcibacter	s__Aquidulcibacter sp001602435	-1.1672511950730504	10.414395703814765	1.3165610739006406e-14	2.1445800633538536e-13	Environmental
SIN73647.1	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Halodesulfovibrio	s__Halodesulfovibrio marinisediminis	-1.08443953658838	10.473696062132516	1.3472312697589907e-14	2.176551502208992e-13	Environmental
WP_107379561.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Stenotrophomonas	s__Stenotrophomonas maltophilia	-1.1166965895088594	10.419182074805073	1.5753203292738056e-14	2.524354771543635e-13	Environmental
WP_048227963.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Bradyrhizobium	s__Bradyrhizobium japonicum	-1.0970985074374544	10.931017209485406	2.1235815657647032e-14	3.3754671500985726e-13	Environmental
WP_072280274.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia flexneri	2.0133698884713467	11.050948286363745	2.224527740461917e-14	3.507635341160351e-13	Host-associated
EFW36388.1	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae	g__Treponema	s__Treponema phagedenis	-1.218588778192414	10.414167839320974	2.3051863812570905e-14	3.6059701249664487e-13	Environmental
OKL45308.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Stappiaceae	g__Pseudovibrio	s__Pseudovibrio exalbescens	-1.039797064889087	10.635778909723818	2.8896048600558e-14	4.4845757316299075e-13	Environmental
SDL68561.1	d__Bacteria	p__Firmicutes_F	c__Halanaerobiia	o__Halanaerobiales	f__Halarsenatibacteraceae	g__Halarsenatibacter	s__Halarsenatibacter silvermanii	-1.114483866339808	10.37243000632974	4.909899280312496e-14	7.560477719918695e-13	Environmental
WP_011643899.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Maricaulaceae	g__Maricaulis	s__Maricaulis maris	-1.0454384734117892	10.376441679076267	6.202442172025741e-14	9.476754667490494e-13	Environmental
WP_110263600.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Nevskiales	f__Nevskiaceae	g__Sinimarinibacterium	s__Sinimarinibacterium flocculans	-1.1245085999675313	10.380438027958926	7.35779996024303e-14	1.1155556708953087e-12	Environmental
CDD46301.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-95	s__CAG-95 sp000436115	1.996413641371042	11.18321645763165	1.3644898933494152e-13	2.052984412054731e-12	Host-associated
WP_056669752.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Rhizobacter	s__Rhizobacter sp001425785	-0.9821623986229064	10.480470542612384	2.1458650703630348e-13	3.2041667073375317e-12	Environmental
WP_046554761.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Arsukibacterium	s__Arsukibacterium sp000987765	-1.1294866491916957	10.372681602535184	2.2656934821608882e-13	3.3576555288263993e-12	Environmental
ABA48561.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Burkholderia	s__Burkholderia mallei	-1.000901631806063	10.393379157818	2.5339599782817614e-13	3.7271903859651876e-12	Environmental
SET55798.1	d__Bacteria	p__Firmicutes_F	c__Halanaerobiia	o__Halanaerobiales	f__Halanaerobiaceae	g__Halanaerobium	s__Halanaerobium congolense	-0.9994305697930506	10.39891309843953	4.3502477496441925e-13	6.351361714480521e-12	Environmental
WP_108256293.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Limnohabitans_A	s__Limnohabitans_A sp001412575	-1.0686396360420882	10.36479312414849	4.5333137449352296e-13	6.569971611225983e-12	Environmental
OFZ84822.1	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia_A	o__UBA1018	f__UBA1018	g__XYD1-FULL-55-31	s__XYD1-FULL-55-31 sp001770175	-0.9230874254410821	10.355812251570752	4.977137275084955e-13	7.160538371673319e-12	Environmental
AXE33704.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Chromobacteriaceae	g__Chromobacterium	s__Chromobacterium sp003325495	-0.9830397123020733	10.412923196568833	6.965182751264113e-13	9.948097973001134e-12	Environmental
WP_074707246.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__Nitrosospira	s__Nitrosospira multiformis_E	-0.9606967637839522	10.441138350587487	7.276597117556457e-13	1.0318110013455955e-11	Environmental
SER07934.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Nitrincolaceae	g__Amphritea	s__Amphritea atlantica	-1.0520827679540985	10.352669545465442	7.685467271502103e-13	1.0820039994379033e-11	Environmental
KQU71625.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Ensifer	s__Ensifer adhaerens_A	-1.0027637506137004	10.595030816787618	9.357821513996642e-13	1.308103986105488e-11	Environmental
WP_076920623.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Pseudoalteromonas	s__Pseudoalteromonas tetraodonis	-1.1075224991050647	10.403280164994507	9.538148730890774e-13	1.3239219118722336e-11	Environmental
CDC79573.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli	1.7544385708951178	10.884865068474316	9.901256771038053e-13	1.3647116850151052e-11	Host-associated
AVX04062.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Devosiaceae	g__Maritalea	s__Maritalea myrionectae	-0.9546409636198303	10.442050759506664	1.0535500359605156e-12	1.4420466117209557e-11	Environmental
WP_083051574.1	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__JC444	f__Marispirochaetaceae	g__Marispirochaeta	s__Marispirochaeta aestuarii	-1.5852587051757105	11.30403578384828	1.1395886333384564e-12	1.5490546181448948e-11	Environmental
AKP76066.1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_H	g__Priestia	s__Priestia megaterium_A	-1.0608977109509354	10.358604885457234	1.1979403234950065e-12	1.617219436718259e-11	Environmental
WP_076414249.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Achromobacter	s__Achromobacter xylosoxidans	-0.9712485051008102	10.410028821009659	1.2214398838895786e-12	1.6313425941324577e-11	Environmental
WP_077750682.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Shewanellaceae	g__Shewanella	s__Shewanella psychrophila	-0.9718059242048235	10.437003945178933	1.2249553725601405e-12	1.6313425941324577e-11	Environmental
WP_008551882.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Stappiaceae	g__Pseudovibrio	s__Pseudovibrio denitrificans	-0.9133747226028296	10.442271165331068	1.3463763557847043e-12	1.781011944464196e-11	Environmental
PCM45266.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Oleiphilaceae	g__Marinobacter	s__Marinobacter sp002407605	-0.9143854502279136	10.363120604705465	1.4147719491918693e-12	1.8590103412381164e-11	Environmental
ALK90936.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Limnohabitans_A	s__Limnohabitans_A sp001412575	-0.8875735649893844	10.428578490650606	1.7297455039439287e-12	2.2578333697175387e-11	Environmental
ERL03959.1	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Mitsuokella	s__Mitsuokella sp000469545	-0.883396768868661	10.459656096271788	1.843407281531442e-12	2.390365626248995e-11	Environmental
KMQ49910.1	d__Bacteria	p__Fibrobacterota	c__Chitinivibrionia	o__Chitinivibrionales	f__Chitinispirillaceae	g__Chitinispirillum	s__Chitinispirillum alkaliphilum	-0.9837519585934341	10.367559013579532	1.9339581830796867e-12	2.4913931887908906e-11	Environmental
SEK95452.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Pseudobutyrivibrio	s__Pseudobutyrivibrio sp900112855	1.5779290255306102	10.77409147327899	2.2531998246721917e-12	2.883803152226552e-11	Host-associated
WP_095386630.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingopyxis	s__Sphingopyxis sp002277025	-1.2605904760963387	11.185806606504913	2.6816331959838766e-12	3.409999373731755e-11	Environmental
SFB96321.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Halomonadaceae	g__Kushneria	s__Kushneria avicenniae	-0.8300085697366842	10.484157259043162	2.848153229621034e-12	3.598532061271191e-11	Environmental
EAP91499.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Maricaulaceae	g__Oceanicaulis	s__Oceanicaulis sp000152745	-0.9992274989445057	10.347120922091031	3.729313154602109e-12	4.6818319921788256e-11	Environmental
EMT50033.1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Brevibacillales	f__Brevibacillaceae	g__Brevibacillus	s__Brevibacillus borstelensis	-0.9110649032382017	10.38404100908216	3.817367506651797e-12	4.762045161778919e-11	Environmental
EDK26613.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Vibrio	s__Vibrio sp000169995	-1.0904355561481156	10.368307276969656	5.057484964496341e-12	6.2693728710832e-11	Environmental
ASA55037.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Vibrio	s__Vibrio gazogenes	-1.038802637310627	10.362984686667577	6.662672404103501e-12	8.207579567805e-11	Environmental
SFH83235.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Pseudobutyrivibrio	s__Pseudobutyrivibrio sp900113655	1.5408425281643618	10.791911947638393	6.914267658987032e-12	8.464609662026982e-11	Host-associated
OZY60706.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E lundensis	1.8598866606814266	11.08313867156087	7.1096150993796405e-12	8.650031704245229e-11	Host-associated
ANY60803.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Comamonas	s__Comamonas aquatica	-1.0055780298411479	10.387117486159829	7.601844721383603e-12	9.192169291930724e-11	Environmental
WP_093732877.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Sulfitobacter	s__Sulfitobacter litoralis	-0.9408614459310446	10.39719615825504	8.123732110290226e-12	9.763339017915875e-11	Environmental
KPF48886.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Rubrivivax	s__Rubrivivax sp001295865	-0.9191364915352703	10.451064542639125	1.1449540685634243e-11	1.3669290842215294e-10	Environmental
GBF57702.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Hyphomonadaceae	g__Phycosocius	s__Phycosocius bacilliformis	-0.9661894252051	10.336421850705051	1.1512441805214303e-11	1.3669290842215294e-10	Environmental
WP_006593996.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Dermatophilaceae	g__Kineosphaera	s__Kineosphaera limosa	-0.885532144723051	10.364796062296495	1.4145414682014585e-11	1.669497744805434e-10	Environmental
PVE61782.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__Sphingomonas sp003075315	-0.8573151588470869	10.475503126511741	1.4840577103887333e-11	1.741117706652496e-10	Environmental
WP_108419813.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Limnohabitans_A	s__Limnohabitans_A sp003063375	-0.9673240153766106	10.343185413733421	1.5289276472516018e-11	1.783145794516513e-10	Environmental
CUI82500.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Achromobacter	s__Achromobacter insuavis	-0.857573916414157	10.446987506346032	1.624246466674026e-11	1.8831704622438266e-10	Environmental
OGG03689.1	d__Bacteria	p__Gemmatimonadota	c__Glassbacteria	o__GWA2-58-10	f__GWA2-58-10	g__GWA2-58-10	s__GWA2-58-10 sp001780825	-0.8488746742709903	10.354799527154771	1.696228309471222e-11	1.9551263146010402e-10	Environmental
PCI19819.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Nitrosococcales	f__Methylophagaceae	g__GCA-002733105	s__GCA-002733105 sp013215775	-0.8701809297752408	10.38821044437978	1.8609350246825364e-11	2.1325017056100461e-10	Environmental
WP_062514727.1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Halobacillaceae	g__Halobacillus	s__Halobacillus sp001592845	-0.8553648705183435	10.411269577223218	2.0705752353834038e-11	2.3590195311795887e-10	Environmental
DAA87246.1	d__Bacteria	p__Cyanobacteria	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__CAG-196	s__CAG-196 sp002102975	-0.968737019863113	10.349850593932327	2.6465757890376197e-11	2.99793154034089e-10	Environmental
RHU62160.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__Acetatifactor sp900066565	1.5889136722485806	10.859299767227453	2.8217956386650556e-11	3.1781481164621855e-10	Host-associated
SDA41978.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Butyrivibrio	s__Butyrivibrio sp900103635	1.5671384667320576	10.77726022355829	3.383685301584597e-11	3.7893430280813873e-10	Host-associated
SNB47029.1	d__Bacteria	p__Desulfobacterota_F	c__Desulfuromonadia	o__Geobacterales	f__Geobacteraceae	g__DSM-9736	s__DSM-9736 sp900187405	-0.8496769280465294	10.368782264767674	3.6420689423912324e-11	4.0556598222898975e-10	Environmental
CCH09348.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Achromobacter	s__Achromobacter xylosoxidans	-0.812374870545417	10.49829160799873	3.8352872990875364e-11	4.246826554214345e-10	Environmental
ODV02649.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Thiobacillaceae	g__Thiobacillus	s__Thiobacillus sp001899305	-0.8709952483370694	10.437987716055158	3.862190549433951e-11	4.252724901080624e-10	Environmental
WP_035570051.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Hyphomonadaceae	g__Hyphomonas	s__Hyphomonas adhaerens	-0.9356168574925222	10.333057271442687	4.057174312323441e-11	4.4426058719941674e-10	Environmental
ORT77667.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter gillenii	1.458057237859213	10.717726953947873	4.942900690779268e-11	5.382573072666264e-10	Host-associated
ACS25692.1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Anoxybacillaceae	g__Parageobacillus	s__Parageobacillus toebii	-0.8653200186834109	10.348734608147787	5.335772255668835e-11	5.771321680638758e-10	Environmental
WP_065340783.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__Azoarcus	s__Azoarcus olearius	-0.9546084615596602	10.451944209254643	5.358456963758969e-11	5.771321680638758e-10	Environmental
RHV45029.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-95	s__CAG-95 sp900066375	1.4434809088864333	10.720823502148809	5.6379104675071e-11	6.039305180139399e-10	Host-associated
WP_063492628.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Bordetella	s__Bordetella trematum	-0.8160615399256873	10.363442227037458	6.283628295654062e-11	6.694611551748193e-10	Environmental
PUE35484.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Limnohabitans_A	s__Limnohabitans_A sp001412575	-0.9814597895815069	10.392674821361803	6.410234267341999e-11	6.769303544196826e-10	Environmental
SPE29028.1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__Terracidiphilus	s__Terracidiphilus gaucii	-0.975637749556546	10.353304370083013	6.422423961262336e-11	6.769303544196826e-10	Environmental
WP_039230967.1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__Domibacillaceae	g__Quasibacillus	s__Quasibacillus thermotolerans	-1.0008688573986595	10.3725767509307	7.002439766365668e-11	7.341387648673794e-10	Environmental
ONG15595.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia flexneri	1.4868713234451414	10.727315132874947	7.455803336480394e-11	7.775337765186697e-10	Host-associated
OOH88764.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Comamonas	s__Comamonas kerstersii	-0.9813875935105412	10.44297370504271	7.679114311024807e-11	7.966070687910471e-10	Environmental
AXD71584.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia flexneri	-0.9398208112277591	10.376608731712535	1.1452128637820426e-10	1.1817877248766525e-9	Environmental
WP_074271829.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Bradyrhizobium	s__Bradyrhizobium erythrophlei_E	-0.8670350656751887	10.420101084823546	1.6700425736914335e-10	1.7144030795551121e-9	Environmental
KRH98875.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Hylemonella	s__Hylemonella sp001432305	-0.8044500951988754	10.353578335404118	2.100703220936073e-10	2.1453295587901555e-9	Environmental
WP_022765818.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Butyrivibrio	s__Butyrivibrio sp000420865	1.4193551620153406	10.767396370696305	3.377911515078038e-10	3.4318884516591814e-9	Host-associated
EHS52757.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Allorhizobium	s__Allorhizobium sp000247475	1.3830905888158604	10.745475728483097	3.726919728826507e-10	3.7670557874446386e-9	Host-associated
KGM08192.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Nitrosococcales	f__Methylophagaceae	g__Methylophaga	s__Methylophaga thiooxydans	-0.7999276221332412	10.33274474294642	4.123510653286731e-10	4.14665280491232e-9	Environmental
WP_001222331.1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_G	g__Bacillus_A	s__Bacillus_A bombysepticus	-0.8241419771339737	10.336136051712158	4.3326336483032934e-10	4.334832954723752e-9	Environmental
PVD78291.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Edwardsiella	s__Edwardsiella piscicida	-0.8708753639997119	10.378181157429907	4.6447298178581086e-10	4.6236174095951175e-9	Environmental
RDG33920.1	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Spirochaetales_E	f__Spirochaetaceae_B	g__Oceanispirochaeta	s__Oceanispirochaeta sp003346715	-0.9631461967629038	10.403401454681049	4.719747373012219e-10	4.674684458395519e-9	Environmental
CAI29258.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia flexneri	1.5493416234743247	10.873600840142636	5.116912194713804e-10	5.042716967890454e-9	Host-associated
EPG66505.1	d__Bacteria	p__Spirochaetota	c__Leptospirae	o__Leptospirales	f__Leptospiraceae	g__Leptospira_B	s__Leptospira_B wolffii	-0.8642027565560796	10.32562690032426	5.177314589452591e-10	5.076859231746794e-9	Environmental
WP_043810625.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Rubrivivax	s__Rubrivivax gelatinosus	-0.8443807751433619	10.396724713239337	5.75691247416968e-10	5.617264597321009e-9	Environmental
EHS53752.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Allorhizobium	s__Allorhizobium sp000247475	1.3252536902823506	10.66190244012961	6.13455058551044e-10	5.956255765537476e-9	Host-associated
SHN41994.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Cryptosporangiaceae	g__Cryptosporangium	s__Cryptosporangium aurantiacum	-0.9154597820069412	10.354815547662273	6.253580995790574e-10	6.042062815050599e-9	Environmental
KRE00236.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Bosea	s__Bosea sp001429395	-0.7900926086482948	10.356575397614243	6.530429413072732e-10	6.277463612863924e-9	Environmental
PZA21656.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Geodermatophilaceae	g__Modestobacter	s__Modestobacter versicolor	-0.7837950130718613	10.417217238118813	6.560920873921707e-10	6.277463612863924e-9	Environmental
WP_116791995.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Achromobacter	s__Achromobacter dolens	-0.7920348148243775	10.357834206811118	7.182732434592861e-10	6.8392104485905936e-9	Environmental
AAK24938.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__Caulobacter vibrioides	-0.7879822632247646	10.36615004324858	9.153779968122918e-10	8.674086690947246e-9	Environmental
OUX02289.1	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Phycisphaerales	f__SM1A02	g__UBA12014	s__UBA12014 sp002690755	-0.9113767213986568	10.33876533713787	9.491377876500866e-10	8.950959710326892e-9	Environmental
KQQ39766.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides sp001423135	-0.8793904817661413	10.532441102029232	1.0181121521081204e-9	9.555709770500502e-9	Environmental
WP_081568834.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E sp002080045	-0.8654715312677348	10.351849615322177	1.5714146988277636e-9	1.4678949627438495e-8	Environmental
EKQ51095.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium sp002760435	-0.755247689975206	10.383317403608773	1.8171581818162983e-9	1.6894428190377e-8	Environmental
