Accession	Domain	Phylum	Class	Order	Family	Genus	Species	logFC	logCPM	PValue	FDR	EnrichedIn
KQY48882.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Pararhizobium	s__Pararhizobium sp001426685	0.7156458153542166	10.43203049600784	4.3222875328272736e-6	7.807875368932938e-5	Plants
KQZ18556.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__Caulobacter rhizosphaerae	0.7069485653998209	10.412599474430557	6.388894825472795e-6	1.1436121737596303e-4	Plants
RHM04043.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Roseburia	s__Roseburia intestinalis	-0.9487985481436171	10.624128671406234	7.007566084384633e-6	1.2430538396534542e-4	Animals
EIC00584.1	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae	g__Treponema_D	s__Treponema_D saccharophilum	-1.0322288098664705	10.6676747576513	7.179161688952288e-6	1.262122264780987e-4	Animals
WP_026664768.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Butyrivibrio	s__Butyrivibrio sp000423945	-1.0064780798668638	10.64818219575557	7.4110098315251685e-6	1.2913520671038105e-4	Animals
PWI25796.1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Kurthia	s__Kurthia sibirica	-1.0855974459050677	10.682109104976776	7.545052383708995e-6	1.3031761529406152e-4	Animals
PKL07545.1	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__UBA12059	g__SZUA-370	s__SZUA-370 sp002839245	-0.959846615096207	10.628688907730067	8.158895611115503e-6	1.3969448224596893e-4	Animals
SFN63027.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Pseudobutyrivibrio	s__Pseudobutyrivibrio sp900100545	-0.9442711245652089	10.639231185590189	8.951020984738317e-6	1.5193586481853229e-4	Animals
EOS25835.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__COE1	s__COE1 sp000403215	-1.0412788633879302	10.663010819175675	9.844374258600579e-6	1.6567156337764566e-4	Animals
CDD66179.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-882	s__CAG-882 sp000435595	-0.8489873174394549	10.583992426285741	1.1125450654499187e-5	0.00018564417236193982	Animals
CCX90095.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Succinivibrionaceae	g__Succinivibrio	s__Succinivibrio sp000431835	-1.0706540403195108	10.675242061929	1.2560381818692938e-5	2.0782682185719662e-4	Animals
PNW67091.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas veronii	-1.0585768756266114	10.70458956771039	1.4548146233141615e-5	2.3871083277546536e-4	Animals
WP_113739238.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas veronii	-1.040737391369711	10.671008146731346	1.6181494635491928e-5	2.633170490684596e-4	Animals
PWL90652.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__Agathobacter rectalis	-0.959814020347628	10.628708806050815	1.6440399751034258e-5	2.6533727139169225e-4	Animals
SDS43141.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Propionibacteriales	f__Nocardioidaceae	g__Marmoricola	s__Marmoricola scoriae	0.6712457010808633	10.43886140417725	1.789784152566015e-5	2.8651097531727504e-4	Plants
ANH02862.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Shinella	s__Shinella granuli	0.6648072452963935	10.423330323395886	1.8436886459271416e-5	2.927599148250437e-4	Plants
SCZ76971.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Pseudobutyrivibrio	s__Pseudobutyrivibrio sp900112855	-0.856727626421995	10.587091974759032	1.864045197810086e-5	2.9362439955904474e-4	Animals
RHD90091.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__Agathobacter rectalis	-1.0392578716054608	10.661880399829549	1.926875253971236e-5	3.011124900848702e-4	Animals
KIU51334.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E hunanensis	0.9694161868958407	10.804084564610637	2.3394790319927794e-5	3.6271135543258136e-4	Plants
WP_035767622.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Butyrivibrio	s__Butyrivibrio sp000702265	-0.9476817843308579	10.62392124119566	3.112168506651358e-5	4.7873904606222836e-4	Animals
ANL45456.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Rhizobium	s__Rhizobium phaseoli	0.6578376245240968	10.398423277178951	3.2335053768576784e-5	4.935482238009898e-4	Plants
EGJ86427.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia flexneri	-0.9497593101891513	10.624413920006782	4.1544560364617895e-5	6.292403027533279e-4	Animals
EEG95687.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Roseburia	s__Roseburia inulinivorans	-0.8246270366439433	10.574546084721078	4.278471201046703e-5	6.430770835771723e-4	Animals
OHY92486.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas sobria	-0.9758712558933084	10.685634787356749	4.4123441647759235e-5	6.557330350859024e-4	Animals
WP_016324389.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Dysosmobacter	s__Dysosmobacter sp000403435	-1.0109395368687328	10.676162586599137	4.445205359117054e-5	6.557330350859024e-4	Animals
OAS88434.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Achromobacter	s__Achromobacter xylosoxidans	0.6905754067309892	10.832523557183753	4.462581345937579e-5	6.557330350859024e-4	Plants
KQW51872.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Pelomonas	s__Pelomonas sp001425165	0.6400824986731313	10.407389589454496	4.76460442073849e-5	6.949263781062287e-4	Plants
CCX93021.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Succinivibrionaceae	g__Succinivibrio	s__Succinivibrio sp000431835	-0.9449104468880225	10.639447936007118	5.371042986803708e-5	7.772298810240191e-4	Animals
APO73557.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Rhizobium	s__Rhizobium etli_B	0.6397956596417123	10.398444639859735	5.4106372164587817e-5	7.772298810240191e-4	Plants
PWE84578.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__Agathobacter rectalis	-0.8956641139143228	10.602668043882632	5.4473196333831705e-5	7.772298810240191e-4	Animals
CDB40813.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__RF32	f__CAG-239	g__CAG-495	s__CAG-495 sp001917125	-0.8771500721802549	10.61188441942142	7.312065773886665e-5	0.001035788309984377	Animals
WP_037354242.1	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Selenomonas_A	s__Selenomonas_A ruminantium_B	-0.9141815141762527	10.610253642097003	7.627177334906614e-5	0.0010727080123165088	Animals
AHC15133.1	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Spirochaetales_C	f__Salinispiraceae	g__Salinispira	s__Salinispira pacifica	-0.8163001205109089	10.571360766848345	7.899841284314322e-5	0.001103176417646447	Animals
SQF87204.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E taetrolens	-0.9645604040159182	10.672483065861982	7.986141566524785e-5	0.0011073741369357255	Animals
ARK25516.1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Sporosarcina	s__Sporosarcina sp002077155	0.6217123983005655	10.39853756733546	8.93671587989828e-5	0.0012305170326936865	Plants
EEV02820.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Roseburia	s__Roseburia intestinalis	-0.9300798293613459	10.63336749313098	9.141181616070919e-5	0.0012499296251419195	Animals
ORC34218.1	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__JC444	f__Marispirochaetaceae	g__Marispirochaeta	s__Marispirochaeta aestuarii	-0.8121757357156828	10.56977402799759	9.262661672915062e-5	0.001257805574756535	Animals
SCY41138.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Butyrivibrio	s__Butyrivibrio hungatei_B	-0.8318585087051008	10.577527923771234	1.0881181252645881e-4	0.0014674688963328588	Animals
OHV83509.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Neorhizobium	s__Neorhizobium sp001854865	0.6082743725729205	10.410980001662146	1.1053363655039952e-4	0.0014805491861750793	Plants
SFT48898.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__XBD2001	s__XBD2001 sp900116395	-0.8358150418385989	10.57909158231959	1.1651677418259515e-4	0.0015501454619292559	Animals
WP_095003428.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E fragi	-0.9222804661562957	10.765302449240657	1.1801144778031873e-4	0.0015594935616070307	Animals
RGM67005.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__Agathobacter rectalis	-0.88487620258554	10.614996860171884	1.1917390318170608e-4	0.0015643561024318619	Animals
WP_099535392.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__Caulobacter sp002742635	0.6106875036522293	10.396719581028407	1.2312987390270552e-4	0.0016055809385061403	Plants
CDE69918.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__TF01-11	s__TF01-11 sp001916135	-0.7829320317553028	10.55855859749755	1.288077322493804e-4	0.0016672944080795523	Animals
KRG75180.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Stenotrophomonas	s__Stenotrophomonas chelatiphaga	0.6170499046625492	10.675058007774062	1.2955614242568384e-4	0.0016672944080795523	Plants
WP_067276170.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Mitsuaria	s__Mitsuaria sp001653795	0.6608635601483946	10.40194412152429	1.3207010038766026e-4	0.0016886105692422277	Plants
WP_114711436.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Rhizobium	s__Rhizobium grahamii	0.606728432863055	10.39309492957939	1.4285657369882845e-4	0.0018147393136322143	Plants
WP_112429052.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Rhizobium	s__Rhizobium sp900472605	0.6035696729408051	10.398478309238252	1.4570052875105001e-4	0.0018272887968841878	Plants
WP_072371002.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Hyphomicrobium_A	s__Hyphomicrobium_A sp900117445	0.6035694680899232	10.398459204566116	1.4570052875105001e-4	0.0018272887968841878	Plants
OGO83951.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__UBA12420	g__UBA12420	s__UBA12420 sp003452395	-0.9212261165582345	10.62929925114608	1.5060955874391342e-4	0.0018769001339668705	Animals
CBL40883.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-81	s__CAG-81 sp900066535	-0.8290788048345334	10.576279387491159	1.571386751441708e-4	0.0019459500085463666	Animals
WP_028057396.1	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Solirubrobacter	s__Solirubrobacter sp000425945	0.5995737035859677	10.394845369720041	1.6887340745007847e-4	0.0020781983704325283	Plants
CCF11937.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Pantoea	s__Pantoea ananatis	0.6084856527065517	10.536143249088544	1.7663719667410153e-4	0.0021602400015609063	Plants
SKB95594.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__Agathobacter rectalis	-0.7703024402743821	10.55376352888439	1.8083808522056396e-4	0.002197964134563521	Animals
SDP93350.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Rhodoferax_B	s__Rhodoferax_B sp900104385	0.5885794300662832	10.425047567372077	2.0942175473945057e-4	0.0025297634054109092	Plants
ALV26347.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Stappiaceae	g__Pannonibacter	s__Pannonibacter indicus	0.5778685341812303	10.42323125524453	2.1628469716877802e-4	0.002596735175154414	Plants
CUM97870.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__Agathobacter faecis	-0.8604692366941679	10.588706766162066	2.1806462032012954e-4	0.0026022378024868793	Animals
WP_005333970.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas veronii	-0.8370994821031753	10.579424701891508	2.2100362700940693e-4	0.002621422539647724	Animals
WP_070163553.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Allorhizobium	s__Allorhizobium vitis_A	0.5853865550704678	10.398551043671581	2.3447539218384976e-4	0.002764563156946109	Plants
SOC83492.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Ensifer	s__Ensifer adhaerens	0.5842623614331589	10.389608491482228	2.6669255549611646e-4	0.003125700248641984	Plants
EIF19934.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia flexneri	-0.7914261108020012	10.56989307431633	2.8167165658003805e-4	0.0032817248035863604	Animals
PKH97030.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Stenotrophomonas	s__Stenotrophomonas sp002836635	0.5644045526881893	10.426778991060846	3.0376017290902697e-4	0.0035182575321051415	Plants
SOY30666.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__Acetatifactor muris	-0.8106348297181627	10.569478318907514	3.51501421254616e-4	0.004047405254095549	Animals
OLP45817.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Allorhizobium	s__Allorhizobium oryziradicis	0.5728893599733179	10.387778153214821	3.618349669315937e-4	0.004118225721897734	Plants
OCJ17685.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Rhizobium	s__Rhizobium sp900489925	0.5728871483280786	10.387748382789013	3.618349669315937e-4	0.004118225721897734	Plants
PTM40659.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Bosea	s__Bosea sp003046175	0.5699906321910686	10.393153587824221	3.6719999895090037e-4	0.004155268953645533	Plants
WP_118280384.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__AM51-8	s__AM51-8 sp003478275	-0.6928393446771981	10.524764518470159	3.697138989946582e-4	0.004159809526402754	Animals
WP_091904930.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Robbsia	s__Robbsia sp900095735	-0.7228139072628933	10.613456818353372	3.8207600012884384e-4	0.00427447525144144	Animals
WP_103317800.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Chromobacteriaceae	g__Chromobacterium	s__Chromobacterium amazonense	0.5540164287109627	10.447518661113001	3.869092900756915e-4	0.004304092611068003	Plants
CDF46174.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__COE1	s__COE1 sp001916965	-0.7237328923692345	10.53621038741719	3.9012375591698784e-4	0.004315470086519939	Animals
EEC56699.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Bacteroides_F	s__Bacteroides_F pectinophilus	-0.6838958729629465	10.521481656692833	3.939491329539867e-4	0.004333440462493853	Animals
WP_067276172.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Mitsuaria	s__Mitsuaria sp001653795	0.5841023313809466	10.389468715178237	4.0158878847477135e-4	0.004392935136149027	Plants
AWQ17420.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Pantoea	s__Pantoea ananatis	0.6407556315654667	10.416263266641245	4.054454158402191e-4	0.004406916342425361	Plants
BAO83469.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Serpentinomonas	s__Serpentinomonas mccroryi	0.5698200013238748	10.416182649875344	4.0734320686714863e-4	0.004406916342425361	Plants
DAA87988.1	d__Bacteria	p__Cyanobacteria	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__CAG-196	s__CAG-196 sp002102975	-0.7707316255958768	10.553929924593648	4.898026536151531e-4	0.005270062431520418	Animals
AWI13573.1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__Caldibacillaceae	g__Bacillus_J	s__Bacillus_J thermoamylovorans	-0.8162246397495271	10.674004523851142	4.969459972098599e-4	0.0053178623288381195	Animals
SDL56123.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E lactis	-0.8243632632507957	10.622871405599053	5.018688835340721e-4	0.005341512603668043	Animals
WP_035823366.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Cupriavidus	s__Cupriavidus necator	-0.7208075517999409	10.558791052215637	5.075544235045413e-4	0.005372982042367967	Animals
SIN73647.1	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Halodesulfovibrio	s__Halodesulfovibrio marinisediminis	0.5572804550201107	10.405496808794709	5.641680599602703e-4	0.005940357807816964	Plants
AOP87428.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter cloacae	-0.7289927220053869	10.561930035185723	5.911847579519904e-4	0.006191716959614197	Animals
WP_066854468.1	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Halodesulfovibrio	s__Halodesulfovibrio spirochaetisodalis	0.5436066494040317	10.409080615699429	5.970898575310618e-4	0.006220475817347411	Plants
BAK80041.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Dwaynesavagella	s__Dwaynesavagella sp000270205	-0.7918553507294848	10.602372825136223	6.392507706036689e-4	0.006624656670098022	Animals
RHE89467.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Roseburia	s__Roseburia inulinivorans	-0.6749418848120163	10.518244280020584	6.483716080220928e-4	0.006683998409400527	Animals
RHU85036.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-127	s__CAG-127 sp900319515	-0.696906795208534	10.52633511212695	6.755021874514479e-4	0.0069274156619369845	Animals
KZX51952.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_A	s__Pseudomonas_A stutzeri	-0.7996298881627001	10.581083452262094	6.826141482750024e-4	0.006964079056753782	Animals
RGW90465.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospira	s__Lachnospira eligens_A	-0.6105939003258047	10.495083929262293	7.825399910079012e-4	0.007942377537600812	Animals
OLA19374.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__Agathobacter rectalis	-0.7283323630678689	10.545919325684466	7.943024182266462e-4	0.008020417751221878	Animals
ART64842.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Halomonadaceae	g__Kushneria	s__Kushneria marisflavi	-0.7199728314725538	10.627300931912844	8.381384570942918e-4	0.00841987052050337	Animals
AHN20532.1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Lysinibacillus	s__Lysinibacillus sphaericus	-0.6757653215983539	10.526416463053378	8.745617760678132e-4	0.008732308220830398	Animals
AVQ03619.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__Caulobacter segnis	0.5382311070576832	10.382351168850855	8.781092065639506e-4	0.008732308220830398	Plants
AVX04062.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Devosiaceae	g__Maritalea	s__Maritalea myrionectae	0.5280098301046328	10.403761793421747	9.119792815446635e-4	0.009023553795786144	Plants
WP_026519205.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Butyrivibrio	s__Butyrivibrio sp000421405	-0.7007501697633228	10.527841342024535	9.249879355224565e-4	0.009090162401141442	Animals
WP_090417594.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Pseudobutyrivibrio	s__Pseudobutyrivibrio sp900104335	-0.6441513702987713	10.514864294443184	9.279444604517165e-4	0.009090162401141442	Animals
DAA82799.1	d__Bacteria	p__Cyanobacteria	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__CAG-196	s__CAG-196 sp002102975	-0.6972181621408169	10.526445068816635	0.0010030000489545778	0.009776767803918632	Animals
PKA85261.1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Viridibacillus	s__Viridibacillus sp002813185	-0.6429099534203785	10.50666500643826	0.0010185249423316487	0.009879190204192199	Animals
